,Bedrooms,Bathrooms,Area,Price,Locality
174,4,2,4000,25000,"SaptagiriColony,Kukatpally,NH"
175,2,2,1477,15000,Sangareddy
176,2,2,1000,14000,"DilsukhNagar,NH"
177,3,3,1630,20000,"Alkapuri,LBNagar,NH"
178,2,2,1050,27000,Madhapur
179,2,2,915,15000,"Vidyanagar,Adikmet"
180,2,2,1200,14000,"Champapet,Koti"
181,3,2,1144,16500,"NirmalaRatnaApartment,Gangaram,Chandanagar,NH"
182,3,1,1660,29000,"MotiNagar-Erragadda,NH"
183,3,2,1198,41000,"MantriCelestia,Gachibowli,OuterRingRoad"
184,2,2,1200,17500,MasabTank
185,3,2,1655,16000,"HyderNagar,NH"
186,3,1,2000,30000,"KhajaGuda,OuterRingRoad"
187,3,3,2003,25000,"PearlCelestial,Kokapet,OuterRingRoad"
188,3,2,1600,24000,"VertexPleasant,Kukatpally,NH"
189,3,2,2500,35000,"BanjaraHills,NH"
190,3,2,2000,41000,"KavuriHills,Madhapur"
191,3,2,1477,42000,AparnaSerenePark
192,3,2,1570,22000,"DaisyClassic,Kukatpally,NH"
193,2,2,1380,23000,"SMRVinayHarmonyCounty,Appajunction"
195,3,2,1800,27000,"DeLitePowerWelfareSociety,Narsingi,OuterRingRoad"
196,2,1,1095,12500,Gajularamaram
197,2,1,1477,12500,"SunCity,Bandlaguda,ChevellaRoad"
198,2,2,1000,12000,Gudimalkapur
199,3,2,1260,18000,Tarnaka
200,3,2,1800,25000,Appajunction
201,3,2,1610,25000,RaghuramA
202,3,2,1495,23000,"SMRVinayCity,Miyapur,NH"
203,3,2,1300,16000,Nizampet
204,3,3,2600,38000,"Yousufguda,NH"
205,3,2,1265,18500,"Chandanagar,NH"
206,3,1,2285,50000,"LumbiniAvenue,Gachibowli,OuterRingRoad"
207,3,2,1425,22000,"Kokapet,OuterRingRoad"
208,3,3,2200,31000,Kothaguda
209,3,1,1840,38000,"GachibowliCUC,OuterRingRoad"
210,3,2,1525,25000,"Hafeezpet,NH"
211,3,1,1477,10000,"KukatpallyHousingBoardColony,NH"
212,2,2,1250,16500,Attapur
213,1,2,1477,13000,LakshmiNagarColony-HanumanNagarColony
214,1,1,1477,25000,Gachibowli
215,3,2,2259,50000,"LodhaMeridian,KPHBPhase"
216,2,1,1365,36000,"MagnamOpus,Gachibowli,OuterRingRoad"
217,2,1,1314,30000,"MyHomeAvatar,Narsingi,OuterRingRoad"
218,3,2,1925,32000,"SMRVinayFountainhead,Hyderabad"
219,2,2,800,10000,"BaghAmberpet,Amberpet,NH"
220,2,1,1400,16000,Attapur
221,3,2,1600,19000,"AakritiHoneydew,Tellapur,OuterRingRoad"
222,3,2,1500,17500,"Kukatpally,NH"
223,3,2,1800,20000,"HillCountyTownship,Bachupally,OuterRingRoad"
224,2,1,810,13000,Serilingampally
225,2,2,1450,26000,"ProjectGoldenHabitat,Madhapur"
226,3,3,2192,41000,"WesternExoticaProject,Kothaguda"
227,3,3,1800,26000,"AdityaImperialHeights,Hafeezpet,NH"
228,3,1,1400,18000,Haripuricolony
229,2,1,768,15000,"Manikonda,OuterRingRoad"
230,3,1,1700,15000,Aminpur
231,4,2,2800,50000,"BanjaraHills,NH"
232,3,3,1740,18000,"APSEBColony,Hastinapuram"
233,3,3,1575,18000,"SilverSpring,Narsingi,OuterRingRoad"
234,2,2,1250,10000,"Bachupally,OuterRingRoad"
235,2,1,1100,13000,Attapur
236,2,2,1800,25000,"BhavyasAkhilaExotica,Kukatpally,NH"
237,3,1,1700,15000,"SriMahalakshmiResidency,Attapur"
238,2,1,850,18000,"Lakdikapul,NH"
239,3,2,1650,24000,"SriNainasSunrise,Manikonda,OuterRingRoad"
240,2,1,1200,17000,Balkampet
241,2,2,1000,16500,Puppalaguda
242,3,3,2192,45000,"WesternExoticaProject,Kothaguda"
243,3,2,1525,23000,"APGOsCoopHSGSociety,Hafeezpet"
244,2,1,1150,14000,ToliChowki
245,3,3,1775,23000,Hyderaguda-Attapur
246,3,2,1490,25000,"InfocityExcellenceandElegance,Nallagandla,Serilingampally"
247,3,2,1450,25000,Mehdipatnam
248,3,2,1200,15000,"AparnaKanopyTulip,Kompally"
249,3,2,1870,35000,"SumukhiOrbit,Madhapur"
250,3,1,1756,34000,"ProjectHillRidgeSprings,Gachibowli,OuterRingRoad"
251,3,1,1500,26000,"GayatriHills,JubileeHills"
252,3,1,1360,15000,"EmeraldHeights,Nizampet"
253,2,2,1160,16000,"NewDilshukhNagar,NH"
254,3,2,1450,14000,MaruthiNagar
255,2,1,950,10000,"Hayathnagar,NH"
256,3,1,2200,35000,Kondapur
257,2,1,670,10500,"Quthbullapur,NH"
258,4,1,3000,36000,Puppalaguda
259,2,2,1200,18000,Puppalaguda
260,3,2,1933,18000,"ModiSplendour,Kukatpally,NH"
261,3,2,2200,26000,Attapur
262,3,1,1933,18000,"ModiSplendour,Kukatpally,NH"
263,2,1,900,10200,"Quthbullapur,NH"
264,2,1,900,14500,Borabanda
265,3,2,1650,18000,"Miyapur,NH"
266,3,2,1850,23000,"Manikonda,OuterRingRoad"
267,3,2,1650,36000,"AshokaLiviano,Gachibowli,OuterRingRoad"
268,4,2,2000,25000,"AlHasnathColony,ToliChowki"
269,2,1,1477,9000,Narapally
270,3,2,1690,45000,"GachibowliCUC,OuterRingRoad"
271,2,2,1100,13000,"NewBowenpally,NH"
272,3,1,1850,30000,Shaikpet
273,3,2,1925,25000,"Hafeezpet,NH"
274,3,1,1600,17000,UppalMetro
275,3,2,1750,17000,Bowenpally
276,3,2,1700,20000,Nizampet
277,3,2,1782,35000,"ITHeights,KhajaGuda,OuterRingRoad"
278,3,2,1450,15000,Bowenpally
279,2,1,954,10000,"ModiEmeraldHeights,Pocharam,NH"
280,3,2,1933,16000,"ModiSplendour,Gajularamaram"
281,3,2,1700,32000,"PranavSuryaPlanet,Kothaguda"
282,2,1,1008,14000,"Miyapur,NH"
283,2,1,1100,15000,"Chandanagar,NH"
284,2,1,1140,8500,"Lalaguda,Secunderabad"
285,1,2,1477,8000,"LBNagar,NH"
286,3,1,1350,10000,"SriSaiRamResidency,Beeramguda,RamachandraPuram,NH"
287,2,1,900,15000,GayathriNagar
288,3,1,1745,29000,"ConcretePalazzo,Nacharam"
289,2,2,1180,19500,"SilverNestArcade,Narayanguda"
290,2,1,1314,35000,"MyHomeAvatar,Narsingi,OuterRingRoad"
291,2,2,1280,30000,Narayanguda
292,3,1,1490,30000,"AdityaImperialHeights,Hafeezpet,NH"
293,3,2,1500,18000,NewNallakunta
294,2,1,1278,33000,"LodhaMeridian,KukatpallyHousingBoardColony,NH"
295,2,2,1600,35000,"BanjaraHills,NH"
296,3,1,1545,35000,"VajrasJasmineCounty,Gachibowli,OuterRingRoad"
297,3,1,2430,41000,"SMRVinayIconia,Kondapur"
298,3,2,1834,40400,"MyHomeAvatar,Narsingi,OuterRingRoad"
299,2,2,1100,17000,"KrishnaGiriEnclave,Secunderabad"
300,3,1,1738,48000,"PrestigeIvyLeague,HitechCity"
301,3,1,2440,48000,"JayabheriOrangeCounty,Gachibowli,OuterRingRoad"
302,3,3,1490,22000,"JanapriyaUtopiaII,Upparpally,HyderabadExpressway"
303,3,2,2690,41000,"SRISAIRAMTowers,Hafeezpet,NH"
304,2,2,1000,18000,ShivamRd
305,2,1,1000,16000,"KukatpallyHousingBoardColony,NH"
306,2,1,1100,20000,Kondapur
307,3,2,1477,44000,Hitech
308,1,2,1477,6500,Vidyanagar
309,3,2,1800,45000,"GolfView,Gachibowli,OuterRingRoad"
310,3,3,2265,41000,"RainbowVistasRockGardens,HitechCity"
311,3,2,1477,30000,Kondapur
312,2,1,1150,17000,"GayatriHills,JubileeHills"
313,3,2,1477,25000,West
314,2,2,1260,25000,"AyyappaSociety,Madhapur"
315,3,2,1558,28000,"InduFortuneFieldsapartments,HitechCity"
316,2,2,1345,20000,Kondapur
317,3,1,1380,15000,Dammaiguda
318,2,2,1100,20000,"BasheerBagh,NH"
319,3,1,2300,45000,MasjidBanda
320,3,1,1650,30000,"Rethibowli,Mehdipatnam"
321,3,1,1545,35000,"VajrasJasmineCounty,FinancialDistrict,NanakramGuda"
322,1,1,1477,13000,Kondapur
323,1,1,1477,10000,Kondapur
324,2,1,1477,20000,"HemadurgaTowers,Miyapur,NH"
325,3,3,1477,44000,RajapushpaAtria
326,2,2,1477,31000,AparnaCyberCommune
327,2,2,1295,30000,"AparnaSerenePark,MasjidBanda"
328,2,1,1262,41000,"Ashvita,HitechCity"
329,3,3,1600,31000,"AparnaCyberZon,Nallagandla,Serilingampally"
330,3,2,2345,36000,"ACEAtlantis,KhajaGuda,OuterRingRoad"
331,2,4,1100,29000,JubileeHills
332,3,2,1550,23000,Narayanguda
333,1,1,1477,15000,Kothaguda
334,3,2,1477,41000,AdityaEmpressTowers
335,3,3,1800,28000,"AdityaImperialHeights,Hafeezpet,NH"
336,3,2,2500,35000,HitechCity
337,3,2,1854,45000,"LodhaMeridian,Kukatpally,NH"
338,3,2,2350,50000,"NagarjunaResidency,PJanardhanReddyNagar,Gachibowli,OuterRingRoad"
339,3,3,2400,45000,"ApurupaAvenue,KavuriHills,Madhapur"
340,3,1,1485,23000,Kondapur
341,2,1,900,16000,"BanjaraHills,NH"
342,4,3,2550,38000,"Ameerpet,NH"
343,3,2,2160,42000,"MyHomeVihanga,Gachibowli,OuterRingRoad"
344,3,2,1628,26000,"PBELCity,Appajunction"
345,3,3,1477,10000,
346,3,1,2200,50000,"AparnaAura,JubileeHills"
347,4,2,2300,50000,"JainsCarltonCreek,Gachibowli,OuterRingRoad"
348,3,2,2400,48000,"RamkyTowersElite,Madhapur"
349,3,3,1600,25000,"ShanthiNagar-Kukatpally,NH"
350,3,2,1800,22000,"SanjeevaReddyNagar,NH"
351,3,1,1300,25000,"SuryaNagar,ToliChowki"
352,3,2,1834,41000,"Gachibowli,OuterRingRoad"
353,2,1,1250,18000,WestMarredpally
354,2,1,1200,17000,"SamataColony,ToliChowki"
355,3,2,2200,50000,"BanjaraHills,NH"
356,3,2,1504,18000,"Manikonda,OuterRingRoad"
357,3,2,1900,45000,Kondapur
358,3,1,1615,45000,"AparnaSerenePark,Kondapur"
359,2,3,907,18000,"SolankiGulmohar,BrahmanWadi,Begumpet"
360,2,2,1233,17500,Attapur
361,3,2,2000,14000,"Saroornagar,NH"
362,2,1,1800,15000,FortViewColony
363,3,1,2092,35000,"MorningRaga,AlkapurTownship,Manikonda,OuterRingRoad"
364,1,1,1477,7500,"Uppal,NH"
365,3,1,1210,13000,Nagaram
366,2,1,6000,17000,"Chandanagar,NH"
367,3,3,1650,25000,"SuryaSravanthiApartment,Kothaguda"
368,2,2,1140,15000,"LotusAvenues,Miyapur,NH"
369,3,2,1650,12000,"Saroornagar,NH"
370,2,1,1217,30000,"Kokapet,OuterRingRoad"
371,2,1,1350,39000,"Kokapet,OuterRingRoad"
372,2,2,1230,26000,PoliceColony-Kondapur
373,3,1,1685,30000,"RajapushpaAtria,Kokapet,OuterRingRoad"
374,3,2,1800,18000,BandlagudaJagir
375,2,2,1514,20000,"Jeedimetla,NH"
376,3,2,1450,15000,"Bachupally,OuterRingRoad"
377,2,1,1200,20000,"DurgabaiDeshmukhColony,Amberpet"
378,3,2,1655,30000,"Nallagandla,Serilingampally"
379,2,1,1413,13000,"Malakpet,NH"
380,2,2,1010,28500,"MalaysianTownship,Kukatpally,NH"
381,2,2,1477,14500,IDPLColony
382,3,2,1500,28000,"Hafeezpet,NH"
383,3,1,1685,27000,"AccurateWindChimes,Narsinghi"
384,2,2,1477,8500,"Beeramguda,RamachandraPuram,NH"
385,3,3,1024,30000,"AdityaImperialHeights,Hafeezpet,NH"
386,3,2,1685,45000,"Gachibowli,OuterRingRoad"
387,3,2,1600,30000,"Manikonda,OuterRingRoad"
388,3,1,2050,36000,"AdityaGardenia,BanjaraHills,NH"
389,2,2,1314,30000,"MyHomeAvatar,Narsingi,OuterRingRoad"
390,1,2,1477,8000,Charminar
391,3,2,1410,20000,"SMRVinayHarmonyCounty,Appajunction"
392,3,1,1850,36000,"AdityaGardenia,BanjaraHills,NH"
393,3,1,1477,30000,"AdityaImperialHeights,Hafeezpet,NH"
394,1,1,1477,15000,Kondapur
395,2,2,1200,14000,Musheerabad
396,3,1,1525,25000,FriendsColony
397,2,3,1150,18000,khairtabad
